t-SNE 1,t-SNE 2,Class
-22.633806,4.795096,amanita
6.2050905,-13.794352,amanita
-10.634414,0.30979162,amanita
-5.06755,3.2159333,amanita
-14.714841,3.3433015,amanita
4.623829,-0.23706299,amanita
-15.486184,4.481473,amanita
-4.12695,-3.0660408,amanita
-13.624522,11.057974,amanita
-2.7087667,-15.547603,amanita
32.74125,1.6433522,amanita
-16.929108,-3.2916412,amanita
-4.1428747,9.10463,amanita
19.808825,-0.12805764,amanita
-19.00553,4.2833743,amanita
-6.1423187,-15.090549,amanita
-21.213491,4.0887384,amanita
33.366787,0.09546052,amanita
32.216053,-0.09752875,amanita
5.062108,-5.0493183,amanita
-8.940306,-7.706768,amanita
-21.084608,-3.5895622,amanita
-8.598957,9.884906,amanita
17.300465,0.44824892,amanita
2.1863759,-6.792912,amanita
32.16809,1.1142135,amanita
-3.4964614,-2.4309855,amanita
-7.0641923,0.58787084,amanita
3.403013,5.474927,amanita
-19.239765,-0.102284566,amanita
-4.5187893,3.6246974,amanita
-4.2975597,0.8855692,amanita
30.372343,-1.1270134,amanita
-21.123703,-2.719158,amanita
27.042015,-0.22302009,amanita
-5.045918,-4.7799397,amanita
31.213774,1.0720437,amanita
2.1356091,-1.7590928,amanita
-2.4928825,-11.065784,amanita
-10.554323,-0.030730605,amanita
18.993103,-11.248718,amanita
-0.9980577,-0.2829398,amanita
6.20504,-13.7942505,amanita
30.682232,1.1821772,amanita
6.5823836,9.854811,amanita
7.0222993,-15.959099,amanita
4.169525,11.784794,amanita
-17.662905,1.3526816,amanita
-0.19451463,10.014762,amanita
-5.911439,-4.234589,amanita
6.51721,-4.93401,amanita
-1.2088673,-8.9198675,amanita
14.032937,-0.5455241,amanita
2.3320284,2.8164127,amanita
16.901072,3.6800122,amanita
34.0697,3.8569067,amanita
-19.539404,2.39652,amanita
4.3069844,0.7279748,amanita
20.669703,0.5392892,amanita
-8.066437,9.428247,amanita
30.518661,0.5576949,amanita
-10.817529,4.3826156,amanita
-17.845745,-10.625739,amanita
9.339228,-10.97204,amanita
-13.177686,13.958524,amanita
-22.801285,1.4821047,amanita
2.8039002,5.808474,amanita
32.974518,2.0274088,amanita
1.0738084,-5.7263026,amanita
-19.493147,3.8693507,amanita
-21.606134,4.488409,amanita
18.69904,-8.830316,amanita
-1.765591,-10.607532,amanita
-23.6768,3.921389,amanita
33.345356,0.76882726,amanita
6.2050905,-13.794352,amanita
10.369272,3.465098,amanita
31.724405,-0.3458212,amanita
27.204845,2.0951974,amanita
-2.6445024,-2.0884657,amanita
-10.649458,5.462512,amanita
30.322433,1.4786136,amanita
-23.284266,2.597308,amanita
-22.794376,4.457986,amanita
20.573065,0.24399808,amanita
-19.47514,2.9355915,amanita
31.185387,0.3310316,amanita
-2.7087667,-15.547603,amanita
22.199013,-5.3871694,amanita
32.163307,0.5962006,amanita
2.3875637,3.8764696,amanita
-16.974182,10.3006735,amanita
-2.5836947,6.2627707,amanita
11.290889,0.5668819,amanita
0.9210918,-6.0353837,amanita
-5.9982853,-1.6054302,amanita
-23.901089,4.721641,amanita
-21.812853,4.216999,amanita
2.0954788,-0.6868754,amanita
-7.142802,-3.1722517,amanita
7.3791356,2.7297516,amanita
