t-SNE 1,t-SNE 2,Class
-22.690413,1.7157806,amanita
7.409264,12.777168,amanita
-6.5260816,11.329487,amanita
-5.646976,0.28181645,amanita
-13.835497,0.32348678,amanita
7.182299,3.5372484,amanita
-14.603391,2.0747132,amanita
3.4238112,8.2068,amanita
-20.292534,-5.609558,amanita
-3.4083812,17.616304,amanita
31.529953,-8.658107,amanita
-14.214657,4.5392723,amanita
-4.4555717,-5.592756,amanita
19.478045,-5.6170654,amanita
-19.398975,0.48439744,amanita
-7.9441385,-10.504228,amanita
-21.173666,2.452367,amanita
31.406271,-10.311948,amanita
30.279333,-9.987497,amanita
1.8552967,-2.9345372,amanita
-12.042357,12.620604,amanita
-17.61003,-3.3779383,amanita
-11.819051,-6.013047,amanita
16.371935,-5.250078,amanita
8.516784,7.2913613,amanita
30.742197,-8.871794,amanita
1.0550498,6.029532,amanita
-6.580053,5.4313874,amanita
1.9329981,-5.3324695,amanita
-17.387434,-1.7878814,amanita
-5.3933625,-0.5199471,amanita
-1.5400438,4.62796,amanita
28.211771,-10.153894,amanita
-23.564505,-0.8750878,amanita
25.410807,-7.86686,amanita
-11.906057,19.259714,amanita
29.83897,-8.522253,amanita
2.6907911,2.9037404,amanita
-3.6526568,14.115295,amanita
-6.379712,11.296863,amanita
19.196678,9.806127,amanita
-1.570374,3.1689925,amanita
7.409167,12.777102,amanita
29.409996,-8.174939,amanita
2.889378,-11.164838,amanita
9.43978,11.966947,amanita
1.24997,-2.5786543,amanita
-18.021633,7.0083017,amanita
-1.851883,-6.1985297,amanita
-9.465195,14.011009,amanita
6.4304295,1.0592109,amanita
-3.1872404,12.238661,amanita
13.873471,-0.643481,amanita
2.22835,3.0459838,amanita
16.817772,-1.4255971,amanita
33.63881,-7.177222,amanita
-19.789051,2.6367624,amanita
4.6132865,-0.090064175,amanita
20.13202,-6.0327463,amanita
-11.668124,-4.9056993,amanita
28.960133,-8.664254,amanita
-8.218106,4.6701756,amanita
-17.90051,-5.9927115,amanita
12.89168,8.075696,amanita
-19.294983,-9.159299,amanita
-23.197275,4.9366903,amanita
1.3654727,-5.358562,amanita
31.820534,-8.405215,amanita
5.9424796,8.523315,amanita
-19.71751,0.99231195,amanita
-22.827347,6.0513725,amanita
19.055218,3.8425229,amanita
-2.9824893,13.276493,amanita
-23.521877,2.3446271,amanita
31.669233,-9.690446,amanita
7.409264,12.777168,amanita
8.433163,-5.8439713,amanita
29.729641,-10.14045,amanita
35.142284,-5.6499557,amanita
1.3197906,5.807559,amanita
-9.4052,3.6980653,amanita
29.19749,-7.725656,amanita
-23.22577,3.6565082,amanita
-22.811953,2.1062424,amanita
20.69014,-4.914211,amanita
-19.572056,2.454011,amanita
29.5007,-9.180542,amanita
-3.4083812,17.616304,amanita
22.266129,0.61889374,amanita
30.524513,-9.309018,amanita
1.7100447,-1.4789027,amanita
-13.12493,5.802178,amanita
-4.4370036,-2.8009682,amanita
11.517292,-1.9796696,amanita
5.678294,8.751906,amanita
-0.6559952,8.511115,amanita
-23.889786,1.6659172,amanita
-21.82225,2.1017034,amanita
3.51672,4.087572,amanita
-9.505963,5.1013546,amanita
5.9957886,-4.4275904,amanita
17.941538,-2.551728,amanita
12.776189,-7.7486153,amanita
29.981342,-9.013241,amanita
-8.670707,-8.918468,amanita
13.951097,3.7292356,amanita
-1.878886,0.520802,amanita
0.9012033,-0.7260618,amanita
-18.675688,3.9549131,amanita
30.214956,-9.390911,amanita
-12.35394,-5.711339,amanita
-12.53724,0.6883381,amanita
-7.0068774,18.079971,amanita
26.059109,-9.389758,amanita
-22.408243,1.274222,amanita
21.017813,-5.024654,amanita
-8.496499,-10.304039,amanita
-8.747255,3.125297,amanita
-23.098377,3.7439847,amanita
-8.607255,10.855118,amanita
20.095394,-3.5670164,amanita
20.688211,-5.393543,amanita
-16.75699,2.229028,amanita
21.79819,-1.513046,amanita
-13.886081,1.1012849,amanita
28.599508,-8.132009,amanita
20.637495,-5.044669,amanita
-21.016106,1.9775757,amanita
-18.789661,-2.6531956,amanita
8.843209,2.1101623,amanita
-8.745203,4.378079,amanita
-5.441665,4.9151883,amanita
0.8882134,5.177462,amanita
-15.519851,1.5388227,amanita
-14.511535,2.2795556,amanita
9.43978,11.966947,amanita
22.581709,-4.4559283,amanita
1.5900975,3.200809,amanita
12.4884615,-10.167009,amanita
4.6179357,-9.854808,amanita
32.936314,-12.728005,amanita
-13.215102,-2.9774284,amanita
18.25967,-2.9794,amanita
-3.6402752,-11.512308,amanita
-21.95569,0.8727926,amanita
-4.942555,-8.550672,amanita
16.027569,5.9712257,amanita
9.036974,0.5326318,amanita
14.637599,-4.6205297,amanita
30.803349,-9.352523,amanita
9.915025,-2.2125223,amanita
-3.4083812,17.616304,amanita
20.146982,-3.2971444,amanita
-9.828275,-2.8963375,amanita
13.657287,0.23968644,amanita
-16.245815,0.08744933,amanita
11.172157,-2.2145934,amanita
11.460798,-0.5382605,amanita
-7.744517,-1.5065941,amanita
-17.627277,5.275295,amanita
0.065595925,0.98047864,amanita
17.111275,-5.0320134,amanita
9.43978,11.966947,amanita
-7.6205177,-2.449577,amanita
26.724133,-7.8756175,amanita
-23.528267,3.6994,amanita
5.277283,-3.1154916,amanita
-1.7121127,4.2090707,amanita
