UMAP 1,UMAP 2,Class
-6.348721,5.442926,amanita
-2.3110008,7.7550125,amanita
-3.8936415,6.057427,amanita
-4.670055,7.5330496,amanita
-5.352456,6.794974,amanita
-2.2438738,8.033027,amanita
-5.3409553,6.8040137,amanita
-3.7549803,7.5597525,amanita
-5.855033,7.019401,amanita
-4.687797,4.5270915,amanita
5.278767,8.917867,amanita
-4.7862744,5.871223,amanita
-3.6465092,8.570506,amanita
0.9161253,8.832972,amanita
-5.8981514,6.176729,amanita
-2.8099387,5.462144,amanita
-6.213437,5.6123996,amanita
5.5675554,8.81273,amanita
5.3017673,8.571544,amanita
-2.9700134,8.936427,amanita
-3.9325185,6.8838243,amanita
-4.6751037,5.074854,amanita
-4.1194773,8.601007,amanita
0.07166008,8.916569,amanita
-1.2553722,7.6541486,amanita
5.234173,8.818048,amanita
-3.0784063,7.200923,amanita
-4.018731,7.243462,amanita
-2.8633258,8.729583,amanita
-5.413154,5.6580973,amanita
-4.125436,8.131073,amanita
-3.9814618,7.95776,amanita
4.959915,8.420003,amanita
-5.1976013,5.152964,amanita
4.4400716,8.747299,amanita
-4.1825347,6.9166546,amanita
5.0343037,8.627878,amanita
-2.950276,7.9452963,amanita
-2.6248808,5.991774,amanita
-3.7273922,6.1103354,amanita
0.08269746,10.932815,amanita
-3.3179743,8.069738,amanita
-2.3169947,7.807359,amanita
4.8159347,8.644157,amanita
-2.8700097,9.125411,amanita
-2.491558,8.116654,amanita
-3.1199827,8.534347,amanita
-5.2700143,5.1687827,amanita
-3.4241388,8.807138,amanita
-4.858771,7.6979976,amanita
-1.6343282,8.40319,amanita
-2.4897068,6.333838,amanita
-0.71396095,8.426762,amanita
-3.3039467,7.5615935,amanita
0.05886681,9.391319,amanita
5.2091208,9.445791,amanita
-5.925877,5.91943,amanita
-2.24927,8.384803,amanita
1.0581529,9.131079,amanita
-4.7182064,6.2391706,amanita
4.8628945,8.661143,amanita
-3.9065702,6.6820726,amanita
-4.2679033,5.19735,amanita
-0.7815933,7.3796725,amanita
-2.9921868,6.410912,amanita
-5.9690213,5.3304753,amanita
-3.1828704,8.749627,amanita
5.4256186,8.989996,amanita
-2.1348832,7.017482,amanita
-5.9284954,5.947479,amanita
-6.0837526,5.344198,amanita
0.0033642028,10.38007,amanita
-2.5167446,6.0186524,amanita
-6.032386,5.2262564,amanita
5.59076,8.83257,amanita
-2.2770352,7.7889724,amanita
-1.3080919,9.295065,amanita
5.2260995,8.615779,amanita
4.720998,9.375557,amanita
-2.583535,7.1992393,amanita
-4.7929144,7.160483,amanita
4.902573,8.723486,amanita
-6.541945,5.2321978,amanita
-6.428871,5.345581,amanita
1.1038983,9.0654955,amanita
-5.9692,5.9859424,amanita
5.0167203,8.602523,amanita
-4.687263,4.515917,amanita
0.6599723,9.671557,amanita
5.2830005,8.627704,amanita
-3.246398,7.6720557,amanita
-5.0545974,5.813087,amanita
-3.95202,8.018174,amanita
-0.84475803,8.611736,amanita
-2.1842456,6.831768,amanita
-2.6913893,7.080419,amanita
-6.1708994,5.2622604,amanita
-6.260367,5.5185413,amanita
-2.5736692,8.17643,amanita
-4.035241,6.7520146,amanita
-2.240617,8.679537,amanita
0.4264246,9.257677,amanita
-0.5263344,9.448382,amanita
5.065165,8.910139,amanita
-3.941621,5.23468,amanita
-0.09050476,7.860671,amanita
-3.6083684,8.235308,amanita
-3.0634346,8.282577,amanita
-5.8436804,5.7981596,amanita
