UMAP 1,UMAP 2,Class
-7.292427,5.9374614,amanita
-2.851647,7.6756396,amanita
-4.348959,6.0492263,amanita
-4.6041527,7.582096,amanita
-5.7703457,6.92865,amanita
-2.3423188,7.658934,amanita
-5.989469,6.9719095,amanita
-4.169063,7.4913287,amanita
-6.1762166,7.483723,amanita
-5.0900836,4.663957,amanita
4.481137,7.918527,amanita
-5.664232,6.134122,amanita
-3.9800806,8.262332,amanita
0.6866336,8.279924,amanita
-6.46211,6.591863,amanita
-4.035842,5.092061,amanita
-7.1527805,5.911227,amanita
4.8028574,7.726063,amanita
4.465855,7.524388,amanita
-2.7685738,8.468486,amanita
-4.5880857,7.024943,amanita
-5.679753,5.1561866,amanita
-4.4696903,8.427634,amanita
-0.21972392,8.469498,amanita
-1.5083838,7.2274194,amanita
4.480369,7.8702874,amanita
-3.625662,7.011476,amanita
-4.232235,7.0140166,amanita
-3.1314993,8.579049,amanita
-6.2779794,5.883343,amanita
-4.415295,7.907644,amanita
-4.0018754,7.676037,amanita
4.010363,7.579288,amanita
-6.298925,5.5630517,amanita
3.4826155,7.946899,amanita
-4.314968,6.8775587,amanita
4.153957,7.7058234,amanita
-3.7715228,7.532773,amanita
-3.4483013,5.7182593,amanita
-4.2334356,5.989231,amanita
-0.12050451,10.307955,amanita
-3.6464012,7.6129174,amanita
-2.8631887,7.664814,amanita
3.9366486,7.7905993,amanita
-2.9480827,8.8667965,amanita
-2.8481205,7.9139504,amanita
-3.026539,8.259798,amanita
-6.261413,5.5966225,amanita
-3.8734622,8.765142,amanita
-5.1780925,7.780718,amanita
-1.5848256,8.2701435,amanita
-3.3022547,5.9361963,amanita
-0.9940323,8.022237,amanita
-3.9940984,7.405052,amanita
-0.26886812,8.820836,amanita
4.5483766,8.523358,amanita
-6.640322,6.2769313,amanita
-2.623382,8.00768,amanita
0.90622437,8.527052,amanita
-5.382691,6.4370265,amanita
4.038672,7.7390375,amanita
-4.6674705,6.428642,amanita
-5.556791,5.39775,amanita
-1.1421024,6.838965,amanita
-3.7982903,6.121105,amanita
-6.9558887,5.855731,amanita
-3.3469753,8.384018,amanita
4.6132145,7.9654408,amanita
-2.7652416,6.627039,amanita
-6.6633224,6.3921037,amanita
-6.8920026,5.7078094,amanita
-0.19387238,9.78956,amanita
-3.3907166,5.684607,amanita
-6.9558425,5.6094546,amanita
4.782062,7.7791686,amanita
-2.861424,7.6664577,amanita
-1.517308,8.876091,amanita
4.2639565,7.6388006,amanita
4.0342755,8.543523,amanita
-3.1392713,6.9369407,amanita
-5.08611,7.140725,amanita
4.068953,7.8304386,amanita
-7.401527,5.8933816,amanita
-7.366911,5.835208,amanita
0.85582983,8.384136,amanita
-6.5714493,6.300892,amanita
4.229759,7.827572,amanita
-5.077947,4.6763344,amanita
0.38688338,9.069694,amanita
4.3958817,7.59639,amanita
-3.5274668,8.046824,amanita
-5.8232226,6.19721,amanita
-4.351049,8.010182,amanita
-1.2925844,8.05203,amanita
-2.7629683,6.419145,amanita
-3.1040328,6.646957,amanita
-7.1577272,5.609245,amanita
-7.1619716,5.9272156,amanita
-2.9451478,7.7749786,amanita
-4.336378,6.5237446,amanita
-2.26342,8.363146,amanita
0.08172048,8.730205,amanita
-0.93225485,9.00434,amanita
4.2920523,7.97319,amanita
-4.9557147,5.2719903,amanita
-0.32241997,7.3336415,amanita
-3.9062285,7.885669,amanita
-3.2804627,8.0766115,amanita
-6.6564,5.794903,amanita
4.401946,7.632941,amanita
-5.2190065,7.5782967,amanita
-5.968235,7.216931,amanita
-4.8078675,7.630656,amanita
5.018422,7.747028,amanita
-7.221141,6.0601864,amanita
0.8357236,8.460023,amanita
-4.645796,4.902041,amanita
-4.7524157,7.1209893,amanita
-7.356339,5.8131046,amanita
-4.562007,6.3370094,amanita
0.96331555,8.244601,amanita
0.8807588,8.483619,amanita
-6.387618,6.959474,amanita
0.7620477,8.231952,amanita
-5.8857703,7.1198525,amanita
3.8718972,7.911548,amanita
0.993493,8.509086,amanita
-7.0662208,6.134737,amanita
